Name,Direct downloads,Indirect downloads,Total
sharpshootR,131,24,155
HiCseg,154,0,154
HARtools,154,0,154
etable,154,0,154
grt,154,0,154
dbfaker,154,0,154
rdpla,154,0,154
rdpla,154,0,154
helsinki,154,0,154
ChaosGame,154,0,154
embryogrowth,154,0,154
DECIDE,154,0,154
hgm,154,0,154
phylopath,154,0,154
ffmanova,154,0,154
ICAOD,154,0,154
dagbag,154,0,154
geoCount,154,0,154
clogitboost,154,0,154
BayesNI,154,0,154
osDesign,154,0,154
implyr,154,0,154
CepLDA,154,0,154
lakemorpho,154,0,154
fdatest,154,0,154
scuba,154,0,154
simpleRCache,154,0,154
datamap,154,0,154
fdrDiscreteNull,154,0,154
violinmplot,154,0,154
exampletestr,154,0,154
smfsb,154,0,154
PResiduals,154,0,154
ClusterRankTest,154,0,154
CircE,154,0,154
DTComPair,154,0,154
dlib,154,0,154
FreeSortR,154,0,154
DSBayes,154,0,154
gsrc,154,0,154
Libra,154,0,154
geoSpectral,154,0,154
Comp2ROC,154,0,154
nlreg,152,2,154
lqr,152,2,154
pcrsim,129,25,154
Rearrangement,121,33,154
dGAselID,153,0,153
s2dverification,153,0,153
dGAselID,153,0,153
batade,153,0,153
infoDecompuTE,153,0,153
HLSM,153,0,153
dams,153,0,153
DTRlearn,153,0,153
dcmr,153,0,153
TestSurvRec,153,0,153
aSPC,153,0,153
PhenotypeSimulator,153,0,153
inegiR,153,0,153
NB.MClust,153,0,153
EnsembleCV,153,0,153
robcor,153,0,153
NoiseFiltersR,153,0,153
cvxbiclustr,153,0,153
localsolver,153,0,153
cablecuttr,153,0,153
divagis,153,0,153
wordspace,153,0,153
errint,153,0,153
rodd,153,0,153
fdakma,153,0,153
fdakma,153,0,153
CARLIT,153,0,153
DeLorean,153,0,153
migui,153,0,153
EMMLi,153,0,153
disparityfilter,153,0,153
bethel,153,0,153
crackR,153,0,153
affluenceIndex,153,0,153
cosmoFns,153,0,153
fdaMixed,153,0,153
GUTS,153,0,153
SimCorMultRes,153,0,153
BOG,153,0,153
penMSM,153,0,153
MapGAM,153,0,153
melviewr,153,0,153
RANKS,153,0,153
breakaway,153,0,153
gtx,153,0,153
minimax,153,0,153
bgmfiles,152,1,153
simcausal,152,1,153
vwr,151,2,153
seismicRoll,128,25,153
recoder,152,0,152
kokudosuuchi,152,0,152
genemodel,152,0,152
DALY,152,0,152
cotrend,152,0,152
panelaggregation,152,0,152
DALY,152,0,152
cotrend,152,0,152
PoissonSeq,152,0,152
panelaggregation,152,0,152
regRSM,152,0,152
CircularDDM,152,0,152
caribou,152,0,152
HMMCont,152,0,152
eLNNpaired,152,0,152
ROCS,152,0,152
lbiassurv,152,0,152
phylocurve,152,0,152
coloredICA,152,0,152
hsmm,152,0,152
desiR,152,0,152
citccmst,152,0,152
CINID,152,0,152
fdrci,152,0,152
R4CouchDB,152,0,152
ZillowR,152,0,152
OptimaRegion,152,0,152
OptimaRegion,152,0,152
cgh,152,0,152
fbRanks,152,0,152
EffectStars,152,0,152
cheb,152,0,152
EFDR,152,0,152
DREGAR,152,0,152
dawai,152,0,152
waterfalls,152,0,152
SurvLong,152,0,152
BayesH,152,0,152
dcv,152,0,152
ECctmc,152,0,152
DySeq,152,0,152
luca,152,0,152
TANDEM,152,0,152
CVThresh,152,0,152
bridger2,152,0,152
MVLM,152,0,152
DATforDCEMRI,152,0,152
FPDclustering,152,0,152
rsunlight,152,0,152
ecd,145,7,152
spacodiR,142,10,152
ptinpoly,125,27,152
oaColors,51,101,152
rgpui,46,106,152
mvc,151,0,151
dna,151,0,151
csrplus,151,0,151
NPCirc,151,0,151
colr,151,0,151
DDIwR,151,0,151
leaderCluster,151,0,151
disclapmix,151,0,151
word.alignment,151,0,151
RSmartlyIO,151,0,151
snplist,151,0,151
LncPath,151,0,151
aptg,151,0,151
rportfolios,151,0,151
FacPad,151,0,151
ds,151,0,151
rCBA,151,0,151
nullabor,151,0,151
geotools,151,0,151
Rlda,151,0,151
gWQS,151,0,151
GsymPoint,151,0,151
dnc,151,0,151
dnc,151,0,151
btf,151,0,151
birdnik,151,0,151
PRISMA,151,0,151
hapassoc,151,0,151
source.gist,151,0,151
exploreR,151,0,151
TurtleGraphics,151,0,151
rase,151,0,151
crimCV,151,0,151
forams,151,0,151
Thinknum,151,0,151
quantchem,151,0,151
RMOA,151,0,151
BEACH,151,0,151
GExMap,151,0,151
commentr,151,0,151
netassoc,151,0,151
NNLM,151,0,151
snpEnrichment,151,0,151
RRTCS,151,0,151
cloudUtil,151,0,151
EILA,151,0,151
link2GI,151,0,151
SurvRank,151,0,151
link2GI,151,0,151
opentraj,151,0,151
enrichvs,151,0,151
paleomorph,151,0,151
diffractometry,151,0,151
fbroc,151,0,151
dpmr,151,0,151
micromapST,151,0,151
scaRabee,151,0,151
ergm.graphlets,151,0,151
RNAseqNet,151,0,151
ChannelAttributionApp,151,0,151
karaoke,151,0,151
HeritSeq,151,0,151
LEAPFrOG,151,0,151
PCovR,150,1,151
OrdinalLogisticBiplot,143,8,151
phmm,134,17,151
KrigInv,131,20,151
braidrm,23,128,151
FastRCS,150,0,150
subniche,150,0,150
dst,150,0,150
score,150,0,150
FastRCS,150,0,150
FinCovRegularization,150,0,150
plac,150,0,150
repolr,150,0,150
bimetallic,150,0,150
bvenn,150,0,150
ncappc,150,0,150
bcROCsurface,150,0,150
EFS,150,0,150
iClick,150,0,150
RAPIDR,150,0,150
cumplyr,150,0,150
rrecsys,150,0,150
JAGUAR,150,0,150
lar,150,0,150
tsallisqexp,150,0,150
SimHaz,150,0,150
MicroDatosEs,150,0,150
peakPick,150,0,150
rnpn,150,0,150
MSG,150,0,150
gravity,150,0,150
jtrans,150,0,150
RbioRXN,150,0,150
RWebLogo,150,0,150
reweight,150,0,150
ChargeTransport,150,0,150
censorcopula,150,0,150
fdcov,150,0,150
ergm.ego,150,0,150
imPois,150,0,150
OData,150,0,150
Maeswrap,150,0,150
bbo,150,0,150
GMCM,150,0,150
tabplotd3,150,0,150
BayesPieceHazSelect,150,0,150
CDF.PSIdekick,150,0,150
decon,150,0,150
RSeed,150,0,150
GlobalDeviance,150,0,150
gcdnet,150,0,150
CampaR1,150,0,150
PortfolioEffectEstim,150,0,150
SNPtools,150,0,150
simctest,150,0,150
popdemo,150,0,150
repo,150,0,150
MImix,150,0,150
CCpop,150,0,150
DEMEtics,149,1,150
lintools,149,1,150
dielectric,142,8,150
mgraph,141,9,150
prettycode,140,10,150
NominalLogisticBiplot,119,31,150
pheno,50,100,150
dbEmpLikeGOF,37,113,150
InterSIM,31,119,150
nat.nblast,149,0,149
bgsmtr,149,0,149
detzrcr,149,0,149
Tnseq,149,0,149
blender,149,0,149
binomialcftp,149,0,149
cSFM,149,0,149
citbcmst,149,0,149
binford,149,0,149
flowDiv,149,0,149
CMPControl,149,0,149
crtests,149,0,149
dynpanel,149,0,149
RJafroc,149,0,149
mev,149,0,149
urlshorteneR,149,0,149
intamapInteractive,149,0,149
ora,149,0,149
ebimetagenomics,149,0,149
TPmsm,149,0,149
geosptdb,149,0,149
cointmonitoR,149,0,149
GPC,149,0,149
Barycenter,149,0,149
gamlss.spatial,149,0,149
COMBIA,149,0,149
deductive,149,0,149
RsimMosaic,149,0,149
COMBIA,149,0,149
gridsampler,149,0,149
DivE,149,0,149
bmmix,149,0,149
HiDimMaxStable,149,0,149
RStripe,149,0,149
DiversitySampler,149,0,149
HiDimMaxStable,149,0,149
RStripe,149,0,149
Rtts,149,0,149
bayesreg,149,0,149
MultiOrd,148,1,149
MultiOrd,148,1,149
sns,145,4,149
Trading,138,11,149
weightr,134,15,149
SACCR,132,17,149
ttutils,127,22,149
ttutils,127,22,149
GANPAdata,38,111,149
FADA,148,0,148
SID,148,0,148
Metatron,148,0,148
Metatron,148,0,148
GenWin,148,0,148
mp,148,0,148
Density.T.HoldOut,148,0,148
rosetteApi,148,0,148
Skillings.Mack,148,0,148
CrossVA,148,0,148
metaplotr,148,0,148
plumbr,148,0,148
RSvgDevice,148,0,148
CORE,148,0,148
ramify,148,0,148
plotpc,148,0,148
Perc,148,0,148
Copula.Markov,148,0,148
helloJavaWorld,148,0,148
utf8latex,148,0,148
rfoaas,148,0,148
simMSM,148,0,148
ensembleMOS,148,0,148
CIFsmry,148,0,148
pedgene,148,0,148
CCMnet,148,0,148
DOBAD,148,0,148
OjaNP,148,0,148
desire,148,0,148
cchs,148,0,148
seqmon,148,0,148
HoRM,148,0,148
chemmodlab,148,0,148
sft,148,0,148
SearchTrees,148,0,148
NPC,148,0,148
dglars,148,0,148
MAT,148,0,148
cgAUC,148,0,148
threg,148,0,148
cocoreg,148,0,148
haplotypes,148,0,148
enviGCMS,148,0,148
haplotypes,148,0,148
lmeNB,148,0,148
DetSel,148,0,148
EditImputeCont,148,0,148
excursions,148,0,148
hit,148,0,148
rmdshower,148,0,148
signmedian.test,148,0,148
CTTShiny,148,0,148
FusedPCA,148,0,148
VCA,144,4,148
loe,142,6,148
plink,140,8,148
fanovaGraph,138,10,148
plus,130,18,148
funr,119,29,148
smoothie,109,39,148
secrdesign,50,98,148
rccmisc,48,100,148
sos4R,147,0,147
kobe,147,0,147
hillmakeR,147,0,147
RealVAMS,147,0,147
hmm.discnp,147,0,147
epifit,147,0,147
geneSLOPE,147,0,147
ensembleR,147,0,147
epifit,147,0,147
JOUSBoost,147,0,147
gfer,147,0,147
Biolinv,147,0,147
docopulae,147,0,147
rasclass,147,0,147
MRCE,147,0,147
rmngb,147,0,147
Conigrave,147,0,147
CorporaCoCo,147,0,147
corrsieve,147,0,147
rmngb,147,0,147
mglR,147,0,147
isocir,147,0,147
RpeakChrom,147,0,147
ppiPre,147,0,147
RadioSonde,147,0,147
AssayCorrector,147,0,147
readMLData,147,0,147
HUM,147,0,147
redist,147,0,147
structSSI,147,0,147
onehot,147,0,147
dfphase1,147,0,147
EMSaov,147,0,147
diffIRT,147,0,147
BioFTF,147,0,147
InvariantCausalPrediction,147,0,147
diffdepprop,147,0,147
EnviroStat,147,0,147
cooptrees,147,0,147
easyformatr,147,0,147
makedummies,147,0,147
FeaLect,147,0,147
HierO,147,0,147
ProfessR,147,0,147
HWEBayes,147,0,147
TUWmodel,147,0,147
TUWmodel,147,0,147
webreadr,147,0,147
cleanEHR,147,0,147
EWGoF,147,0,147
epr,147,0,147
BivRegBLS,147,0,147
dMod,147,0,147
gesis,147,0,147
sweidnumbr,143,4,147
LDRTools,138,9,147
Ohmage,137,10,147
grpregOverlap,34,113,147
lmeNBBayes,32,115,147
timedelay,146,0,146
RNAstructureModuleMiner,146,0,146
CpGFilter,146,0,146
chromoR,146,0,146
cquad,146,0,146
TreeBUGS,146,0,146
comclim,146,0,146
MRCV,146,0,146
ElstonStewart,146,0,146
DivMelt,146,0,146
cdb,146,0,146
RunuranGUI,146,0,146
gapfill,146,0,146
RunuranGUI,146,0,146
cdb,146,0,146
mlt.docreg,146,0,146
medicalrisk,146,0,146
Dark,146,0,146
knockoff,146,0,146
lmmlasso,146,0,146
Sequential,146,0,146
dataonderivatives,146,0,146
GESTr,146,0,146
Sequential,146,0,146
RCMIP5,146,0,146
shopifyr,146,0,146
spant,146,0,146
poplite,146,0,146
freqparcoord,146,0,146
geotopbricks,146,0,146
OpasnetUtils,146,0,146
slickR,146,0,146
slickR,146,0,146
Qtools,146,0,146
yesno,146,0,146
ChangepointTesting,146,0,146
cvq2,146,0,146
binst,146,0,146
ManifoldOptim,146,0,146
CSclone,146,0,146
cnmlcd,146,0,146
crop,146,0,146
DoubleCone,146,0,146
CONS,146,0,146
dynRB,146,0,146
GenForImp,146,0,146
BGSIMD,146,0,146
kernDeepStackNet,146,0,146
photobiologyPlants,146,0,146
DisimForMixed,146,0,146
neuRosim,146,0,146
photobiologyPlants,146,0,146
DisimForMixed,146,0,146
VBLPCM,146,0,146
DSviaDRM,146,0,146
elliplot,146,0,146
RRedshiftSQL,146,0,146
Julia,146,0,146
tightClust,145,1,146
TruncatedNormal,145,1,146
WilcoxCV,143,3,146
nsga2R,143,3,146
PoisNor,137,9,146
PoisNor,137,9,146
rgho,131,15,146
streamMOA,82,64,146
DiffusionRgqd,22,124,146
orclus,145,0,145
orclus,145,0,145
NFP,145,0,145
ggCompNet,145,0,145
GeneticSubsetter,145,0,145
narray,145,0,145
TTCA,145,0,145
fasteraster,145,0,145
dave,145,0,145
ezec,145,0,145
ezec,145,0,145
orddom,145,0,145
CUMP,145,0,145
rpsftm,145,0,145
fanc,145,0,145
EntropyExplorer,145,0,145
CVTuningCov,145,0,145
matR,145,0,145
mizer,145,0,145
treescape,145,0,145
EffectsRelBaseline,145,0,145
ndl,145,0,145
eyelinker,145,0,145
oapackage,145,0,145
itertools2,145,0,145
MatchingFrontier,145,0,145
ldstatsHD,145,0,145
medicare,145,0,145
EconDemand,145,0,145
rospca,145,0,145
ktsolve,145,0,145
IMP,145,0,145
gdimap,145,0,145
mbest,145,0,145
stam,145,0,145
corTools,145,0,145
GWAF,145,0,145
FinAna,145,0,145
metaMix,145,0,145
keyplayer,145,0,145
KoulMde,145,0,145
WMCapacity,145,0,145
hashFunction,145,0,145
futureheatwaves,145,0,145
quantification,145,0,145
edf,145,0,145
RFGLS,145,0,145
darts,145,0,145
StableEstim,145,0,145
LANDD,145,0,145
hurricaneexposure,144,1,145
dChipIO,141,4,145
sparsebnUtils,33,112,145
musicNMR,144,0,144
DBKGrad,144,0,144
PARSE,144,0,144
Conake,144,0,144
cernn,144,0,144
MAINT.Data,144,0,144
topsis,144,0,144
EPGLM,144,0,144
growfunctions,144,0,144
fugeR,144,0,144
fugeR,144,0,144
EnvNicheR,144,0,144
freesurfer,144,0,144
bitrugs,144,0,144
gunsales,144,0,144
lvm4net,144,0,144
rethinker,144,0,144
exp2flux,144,0,144
rethinker,144,0,144
rpms,144,0,144
bootspecdens,144,0,144
Power2Stage,144,0,144
TRADER,144,0,144
vitality,144,0,144
WikipediaR,144,0,144
censNID,144,0,144
BoolFilter,144,0,144
yorkr,144,0,144
MRMR,144,0,144
RobRSVD,144,0,144
BoolFilter,144,0,144
graphscan,144,0,144
UPMASK,144,0,144
Disake,144,0,144
SimSCRPiecewise,144,0,144
PKreport,144,0,144
glamlasso,144,0,144
FindMinIC,144,0,144
crossReg,144,0,144
diffEq,144,0,144
CHMM,144,0,144
IFP,144,0,144
BTR,144,0,144
LassoBacktracking,144,0,144
densratio,144,0,144
pragma,144,0,144
nettools,144,0,144
RPtests,144,0,144
mle.tools,144,0,144
Survgini,144,0,144
CSeqpat,144,0,144
RAMpath,144,0,144
CSeqpat,144,0,144
RAMpath,144,0,144
EnsemblePenReg,144,0,144
cqrReg,144,0,144
GameTheoryAllocation,133,11,144
SocialNetworks,112,32,144
EMC,74,70,144
Reliability,143,0,143
precintcon,143,0,143
rite,143,0,143
livechatR,143,0,143
EBS,143,0,143
BaPreStoPro,143,0,143
MixedPoisson,143,0,143
BaPreStoPro,143,0,143
landest,143,0,143
Rphylopars,143,0,143
SimInf,143,0,143
crantastic,143,0,143
sisus,143,0,143
hail,143,0,143
RVsharing,143,0,143
cofeatureR,143,0,143
SMNCensReg,143,0,143
selectMeta,143,0,143
gramEvol,143,0,143
LPM,143,0,143
sinew,143,0,143
recommenderlabBX,143,0,143
sensitivitymv,143,0,143
eqs2lavaan,143,0,143
rplotengine,143,0,143
stpm,143,0,143
StatDataML,143,0,143
emme2,143,0,143
GeoDE,143,0,143
Kernelheaping,143,0,143
GeoDE,143,0,143
SSsimple,143,0,143
wqs,143,0,143
OptInterim,143,0,143
primes,143,0,143
PIPS,143,0,143
IalsaSynthesis,143,0,143
multispatialCCM,143,0,143
sjdbc,143,0,143
Rcolombos,143,0,143
Rcolombos,143,0,143
GeneClusterNet,143,0,143
FAmle,143,0,143
DESnowball,143,0,143
xseq,143,0,143
microclass,143,0,143
dslice,143,0,143
palaeoSig,143,0,143
modeval,143,0,143
modeval,143,0,143
multimark,143,0,143
LinkedMatrix,137,6,143
gifti,131,12,143
wpp2010,39,104,143
sbrl,142,0,142
growthrate,142,0,142
ENiRG,142,0,142
fisheyeR,142,0,142
uqr,142,0,142
fExpressCertificates,142,0,142
ESEA,142,0,142
lestat,142,0,142
ESEA,142,0,142
KATforDCEMRI,142,0,142
mvnTest,142,0,142
ChIPtest,142,0,142
pbatR,142,0,142
clinUtiDNA,142,0,142
Pade,142,0,142
Pade,142,0,142
NMI,142,0,142
mpa,142,0,142
Weighted.Desc.Stat,142,0,142
multisensi,142,0,142
PSAboot,142,0,142
hysteresis,142,0,142
multisensi,142,0,142
gpDDE,142,0,142
SDraw,142,0,142
GLMMRR,142,0,142
quadrupen,142,0,142
RRreg,142,0,142
dataMaid,142,0,142
SCRSELECT,142,0,142
patternplot,142,0,142
conclust,142,0,142
EFAutilities,142,0,142
patternplot,142,0,142
MMDai,142,0,142
PsiHat,142,0,142
lpme,142,0,142
functools,142,0,142
robeth,142,0,142
etma,142,0,142
suRtex,142,0,142
suRtex,142,0,142
bigKRLS,142,0,142
MSCMT,142,0,142
JOP,142,0,142
pssm,142,0,142
FAMILY,142,0,142
kitagawa,142,0,142
forensic,142,0,142
decision,142,0,142
LightningR,142,0,142
LightningR,142,0,142
learningCurve,142,0,142
PoisBinOrdNor,142,0,142
rjstat,142,0,142
dequer,142,0,142
OligoSpecificitySystem,142,0,142
discreteMTP,141,1,142
simone,140,2,142
pedometrics,136,6,142
metaplot,134,8,142
poio,127,15,142
poio,127,15,142
ProgGUIinR,141,0,141
vistime,141,0,141
exsic,141,0,141
censCov,141,0,141
QCApro,141,0,141
ggguitar,141,0,141
iki.dataclim,141,0,141
moezipfR,141,0,141
evt0,141,0,141
clikcorr,141,0,141
MixtureInf,141,0,141
geesmv,141,0,141
ecotoxicology,141,0,141
gquad,141,0,141
catdap,141,0,141
zoon,141,0,141
MM2S,141,0,141
RDieHarder,141,0,141
randomizeR,141,0,141
cusp,141,0,141
Surrogate,141,0,141
CompR,141,0,141
gmDatabase,141,0,141
braidReports,141,0,141
falcon,141,0,141
sp23design,141,0,141
Eplot,141,0,141
bytescircle,141,0,141
ELT,141,0,141
bpkde,141,0,141
STAND,141,0,141
fwsim,141,0,141
DCODE,141,0,141
gMOIP,141,0,141
ODMconverter,141,0,141
TreatmentSelection,141,0,141
RmarineHeatWaves,141,0,141
CRTgeeDR,141,0,141
rprime,141,0,141
eigenprcomp,141,0,141
VNM,141,0,141
plan,141,0,141
madsim,141,0,141
TauStar,141,0,141
KappaV,141,0,141
NetSwan,141,0,141
RDataCanvas,141,0,141
belex,141,0,141
FLIM,141,0,141
TEQR,141,0,141
CateSelection,141,0,141
KnowBR,141,0,141
bivarRIpower,141,0,141
pMineR,141,0,141
fastSOM,141,0,141
mosaicQA,141,0,141
lumendb,141,0,141
phenex,141,0,141
NCA,141,0,141
speciesgeocodeR,141,0,141
multiPIM,141,0,141
homtest,141,0,141
HPbayes,141,0,141
PepPrep,141,0,141
mvPot,141,0,141
drLumi,141,0,141
gofCopula,141,0,141
hopbyhop,139,2,141
optimr,129,12,141
labeltodendro,128,13,141
elec,32,109,141
futile.paradigm,26,115,141
LLSR,140,0,140
LLSR,140,0,140
bPeaks,140,0,140
nontarget,140,0,140
KappaGUI,140,0,140
gllm,140,0,140
ONETr,140,0,140
quint,140,0,140
ergm.rank,140,0,140
openVA,140,0,140
rbmn,140,0,140
cord,140,0,140
tea,140,0,140
bundesligR,140,0,140
bioPN,140,0,140
sonify,140,0,140
purge,140,0,140
DengueRT,140,0,140
plmDE,140,0,140
sonify,140,0,140
MPCI,140,0,140
NHMM,140,0,140
cytoDiv,140,0,140
vscc,140,0,140
sqlscore,140,0,140
CDROM,140,0,140
DBGSA,140,0,140
SoilR,140,0,140
covsep,140,0,140
covsep,140,0,140
PLMIX,140,0,140
primerTree,140,0,140
IntNMF,140,0,140
dHSIC,140,0,140
SPODT,140,0,140
xyz,140,0,140
LinearizedSVR,140,0,140
climbeR,140,0,140
ccChooser,140,0,140
LinearizedSVR,140,0,140
SPODT,140,0,140
falconx,140,0,140
estout,140,0,140
fancycut,140,0,140
VetResearchLMM,140,0,140
ConR,140,0,140
grex,140,0,140
grex,140,0,140
KANT,140,0,140
morse,140,0,140
ETC,140,0,140
SmartSVA,140,0,140
exreport,140,0,140
covBM,140,0,140
hdr,140,0,140
seqDesign,140,0,140
hdr,140,0,140
STEPCAM,140,0,140
drawExpression,140,0,140
iosmooth,140,0,140
LoopAnalyst,140,0,140
cycloids,140,0,140
SeqFeatR,140,0,140
coenoflex,140,0,140
TLMoments,139,1,140
PDSCE,137,3,140
multilevelPSA,137,3,140
sdprisk,134,6,140
iqLearn,139,0,139
flars,139,0,139
rbi,139,0,139
EDFIR,139,0,139
calACS,139,0,139
netClass,139,0,139
gmeta,139,0,139
gds,139,0,139
hpcwld,139,0,139
RcppShark,139,0,139
netClass,139,0,139
gmeta,139,0,139
gds,139,0,139
grpSLOPE,139,0,139
coexist,139,0,139
coprimary,139,0,139
GAIPE,139,0,139
dynsim,139,0,139
FRESA.CAD,139,0,139
CIAAWconsensus,139,0,139
nonpar,139,0,139
gpk,139,0,139
DrBats,139,0,139
GrowingSOM,139,0,139
modiscloud,139,0,139
attrCUSUM,139,0,139
ecdfHT,139,0,139
attrCUSUM,139,0,139
Gammareg,139,0,139
RImagePalette,139,0,139
filehashSQLite,139,0,139
omics,139,0,139
coreTDT,139,0,139
PAS,139,0,139
DensParcorr,139,0,139
NISTnls,139,0,139
GeoGenetix,139,0,139
PGICA,139,0,139
QPot,139,0,139
DEploid,139,0,139
gRapfa,139,0,139
GFA,139,0,139
recexcavAAR,139,0,139
plfm,139,0,139
ROC632,139,0,139
FDRreg,139,0,139
ROC632,139,0,139
displayHTS,139,0,139
CUSUMdesign,139,0,139
DCM,139,0,139
cpgen,139,0,139
GAabbreviate,139,0,139
PredictiveRegression,139,0,139
pmlr,139,0,139
RcppNumerical,139,0,139
io,131,8,139
TSPostgreSQL,61,78,139
qtbase,40,99,139
turfR,138,0,138
DoTC,138,0,138
dupiR,138,0,138
CfEstimateQuantiles,138,0,138
fdq,138,0,138
ILS,138,0,138
icpsrdata,138,0,138
micropan,138,0,138
gsg,138,0,138
GFD,138,0,138
IASD,138,0,138
ordPens,138,0,138
dgmb,138,0,138
bride,138,0,138
uniCox,138,0,138
BisRNA,138,0,138
ReliabilityTheory,138,0,138
inbreedR,138,0,138
IntLik,138,0,138
RZabbix,138,0,138
dsmodels,138,0,138
NBDdirichlet,138,0,138
RGENERATEPREC,138,0,138
migration.indices,138,0,138
surveyoutliers,138,0,138
smnet,138,0,138
likelihoodAsy,138,0,138
hetmeta,138,0,138
cssTools,138,0,138
federalregister,138,0,138
brea,138,0,138
rtrim,138,0,138
EMSC,138,0,138
EMSC,138,0,138
ratesci,138,0,138
sorvi,138,0,138
MMS,138,0,138
Map2NCBI,138,0,138
clustering.sc.dp,138,0,138
inspectr,138,0,138
rnetcarto,138,0,138
bikeshare14,138,0,138
TP.idm,138,0,138
inspectr,138,0,138
vegalite,138,0,138
choplump,138,0,138
zenplots,138,0,138
gafit,138,0,138
rotations,138,0,138
SimSeq,138,0,138
tdthap,138,0,138
highriskzone,138,0,138
onlinePCA,138,0,138
crblocks,138,0,138
exCon,135,3,138
rtext,130,8,138
ph2bayes,21,117,138
okmesonet,137,0,137
hgam,137,0,137
IPtoCountry,137,0,137
dpa,137,0,137
EMMIXcskew,137,0,137
diskImageR,137,0,137
CuCubes,137,0,137
CuCubes,137,0,137
ImpactIV,137,0,137
GibbsACOV,137,0,137
W2CWM2C,137,0,137
MixAll,137,0,137
OrthoPanels,137,0,137
SetRank,137,0,137
npmlreg,137,0,137
BetaBit,137,0,137
cbird,137,0,137
cbird,137,0,137
reglogit,137,0,137
FastPCS,137,0,137
concatenate,137,0,137
franc,137,0,137
mpMap,137,0,137
BootMRMR,137,0,137
photobiologyInOut,137,0,137
rDNA,137,0,137
bannerCommenter,137,0,137
BootMRMR,137,0,137
wand,137,0,137
WufooR,137,0,137
NetComp,137,0,137
divo,137,0,137
COCONUT,137,0,137
depth.plot,137,0,137
cleanr,137,0,137
mpmcorrelogram,137,0,137
customizedTraining,137,0,137
genomeplot,137,0,137
prop.comb.RR,137,0,137
wiod,137,0,137
logcondens.mode,137,0,137
gSeg,137,0,137
lettercase,137,0,137
raters,137,0,137
codadiags,137,0,137
strum,137,0,137
Evomorph,137,0,137
PowerUpR,137,0,137
glmmsr,137,0,137
eqtl,137,0,137
SPAtest,137,0,137
JacobiEigen,137,0,137
FreqProf,137,0,137
wiqid,137,0,137
eqtl,137,0,137
Rtextrankr,137,0,137
HiCglmi,137,0,137
GPseq,137,0,137
tumblR,137,0,137
edcc,137,0,137
LOGICOIL,137,0,137
LindenmayeR,137,0,137
pgam,137,0,137
LindenmayeR,137,0,137
linLIR,137,0,137
IMIS,137,0,137
speff2trial,137,0,137
interferenceCI,137,0,137
YplantQMC,137,0,137
YplantQMC,137,0,137
stationaRy,137,0,137
IMIS,137,0,137
SparseDC,137,0,137
ifa,137,0,137
LCMCR,137,0,137
diaplt,137,0,137
emov,137,0,137
suncalc,137,0,137
ifa,137,0,137
LCMCR,137,0,137
diaplt,137,0,137
emov,137,0,137
ProfileLikelihood,135,2,137
DIFboost,131,6,137
gelnet,131,6,137
ref,128,9,137
phylosim,110,27,137
kzft,40,97,137
RKEELdata,36,101,137
LS2W,31,106,137
pathdiagram,136,0,136
SynchWave,136,0,136
GlobalFit,136,0,136
momentchi2,136,0,136
gem,136,0,136
gem,136,0,136
MAVTgsa,136,0,136
COUSCOus,136,0,136
simplexreg,136,0,136
interpretR,136,0,136
simboot,136,0,136
ctqr,136,0,136
flows,136,0,136
hierarchicalDS,136,0,136
ctqr,136,0,136
PPtree,136,0,136
pipeliner,136,0,136
cggd,136,0,136
MultAlloc,136,0,136
mvSLOUCH,136,0,136
smaa,136,0,136
soil.spec,136,0,136
rEMM,136,0,136
RCPmod,136,0,136
parallelize.dynamic,136,0,136
episheet,136,0,136
StroupGLMM,136,0,136
TopKLists,136,0,136
PopGenKit,136,0,136
ShinyTester,136,0,136
CP,136,0,136
EmiStatR,136,0,136
GPLTR,136,0,136
Mobilize,136,0,136
diezeit,136,0,136
dsample,136,0,136
GPLTR,136,0,136
bpp,136,0,136
hsphase,136,0,136
KOGMWU,136,0,136
InteractiveIGraph,136,0,136
qrage,136,0,136
Polychrome,136,0,136
fragilityindex,136,0,136
loop,136,0,136
DNAseqtest,136,0,136
LaplaceDeconv,136,0,136
spartan,136,0,136
ProFit,136,0,136
gnlm,136,0,136
lassopv,136,0,136
elasso,136,0,136
freestats,136,0,136
envlpaster,136,0,136
glba,133,3,136
RSpincalc,129,7,136
TileManager,117,19,136
synbreedData,33,103,136
microcontax,27,109,136
resampledata,135,0,135
deadband,135,0,135
IBHM,135,0,135
GeneralOaxaca,135,0,135
wgsea,135,0,135
interAdapt,135,0,135
WaterML,135,0,135
conics,135,0,135
staTools,135,0,135
IBHM,135,0,135
GeneralOaxaca,135,0,135
chi2x3way,135,0,135
SyNet,135,0,135
IncucyteDRC,135,0,135
GetR,135,0,135
PBSadmb,135,0,135
ProNet,135,0,135
SWMPr,135,0,135
dynetNLAResistance,135,0,135
fat2Lpoly,135,0,135
quantreg.nonpar,135,0,135
Rexperigen,135,0,135
evolvability,135,0,135
correctedAUC,135,0,135
MSIseq,135,0,135
phreeqc,135,0,135
heatex,135,0,135
generator,135,0,135
gsrsb,135,0,135
generator,135,0,135
gsrsb,135,0,135
ibelief,135,0,135
RockFab,135,0,135
factorcpt,135,0,135
IntegratedMRF,135,0,135
sperich,135,0,135
DecorateR,135,0,135
tutorial,135,0,135
dexter,135,0,135
IBDhaploRtools,135,0,135
RDota2,135,0,135
